"week","group_1","group_2","group_3","group_4","group_5","Strategy"
"20080104",0.0190204867256637,0.00707555555555556,0.0158414666666667,0.0201608444444444,0.0223648672566372,0.00334438053097345
"20080111",-0.066813185840708,-0.0610552444444444,-0.0552649777777778,-0.0710888,-0.075127610619469,-0.00831442477876107
"20080118",-0.070721017699115,-0.0859665777777778,-0.0881411555555556,-0.0781531111111111,-0.0917199557522124,-0.0209989380530974
"20080125",-0.0126365486725664,0.0127886222222222,0.0334368888888889,0.0332026222222222,0.0321096017699115,0.0447461504424779
"20080201",0.0498743362831858,0.0480167256637168,0.0351141592920354,0.034513185840708,0.0382579646017699,-0.0116163716814159
"20080205",0.0549037168141593,0.0559147787610619,0.0483655309734513,0.0486841150442478,0.0534602654867257,-0.00144345132743363
"20080215",-0.0384051327433628,-0.0314695132743363,-0.0346271681415929,-0.0376245575221239,-0.0419621238938053,-0.00355699115044248
"20080222",0.0639945132743363,0.0727791150442478,0.0785961946902655,0.0784215486725664,0.0771850442477876,0.0131905309734513
"20080229",-0.0552972566371681,-0.0466945132743363,-0.0504075221238938,-0.0481755309734513,-0.0447743805309734,0.0105228761061947
"20080307",-0.133644778761062,-0.133586548672566,-0.14268017699115,-0.134916283185841,-0.149272831858407,-0.0156280530973451
"20080314",0.0216083628318584,0.00458632743362832,-0.00268482300884956,-0.0258357522123894,-0.0185484955752212,-0.0401568584070797
"20080321",-0.0766121238938053,-0.0663634513274336,-0.0530475663716814,-0.0504347787610619,-0.0571514601769912,0.0194606637168142
"20080328",-0.0392473451327434,-0.0401346017699115,-0.0473340265486726,-0.0362544690265487,-0.0134392920353982,0.0258080530973451
"20080403",-0.0573403982300885,-0.0722253539823009,-0.073020796460177,-0.0696286283185841,-0.0519927876106195,0.00534761061946903
"20080411",-0.0774369469026549,-0.0953621238938053,-0.102688053097345,-0.101980575221239,-0.107038982300885,-0.0296020353982301
"20080418",0.103109380530973,0.0972873451327434,0.114167433628319,0.126997831858407,0.134963761061947,0.0318543805309735
"20080425",0.0274771238938053,0.0225407522123894,0.0261888938053097,0.0255374336283186,0.0577096017699115,0.0302324778761062
"20080430",0.017008407079646,-2.88053097345133e-05,0.00265269911504425,-0.00499508849557522,-0.00531557522123894,-0.022323982300885
"20080509",-0.0205608849557522,0.00913230088495575,0.0029796017699115,0.0164529646017699,0.0265186725663717,0.0470795575221239
"20080516",-0.0873816371681416,-0.0902744690265487,-0.0932981415929204,-0.0926743362831858,-0.0956684513274336,-0.00828681415929203
"20080523",0.00834823008849558,0.0145519026548673,0.0180835840707965,0.023999203539823,0.0302876548672566,0.0219394247787611
"20080530",-0.129271371681416,-0.144954159292035,-0.134901814159292,-0.126575707964602,-0.119095398230088,0.0101759734513274
"20080606",-0.163626769911504,-0.157277610619469,-0.165502168141593,-0.174795088495575,-0.17595017699115,-0.012323407079646
"20080613",-0.0871419911504425,-0.0929719911504425,-0.101494247787611,-0.102478185840708,-0.100773849557522,-0.0136318584070796
"20080620",0.024156017699115,0.0273476991150442,0.0270423008849558,0.0221703982300885,0.0320407079646018,0.00788469026548672
"20080627",0.079683407079646,0.0853622566371681,0.0938320353982301,0.0915833185840708,0.0878650442477876,0.00818163716814159
"20080704",0.0193826991150442,0.0345935398230088,0.0419846017699115,0.0480051769911504,0.0508865486725664,0.0315038495575221
"20080711",-0.0232987610619469,-0.0195111061946903,-0.0149892477876106,-0.0168615486725664,-0.0172562831858407,0.0060424778761062
"20080718",0.0238823008849558,0.0252938495575221,0.0336328318584071,0.0352000884955752,0.0391513716814159,0.0152690707964602
"20080725",-0.0661125221238938,-0.0723780530973451,-0.0720854424778761,-0.070173185840708,-0.0714317256637168,-0.00531920353982301
"20080801",-0.183016163793103,-0.171207112068966,-0.177996926406926,-0.186894181034483,-0.184818275862069,-0.00180211206896552
"20080808",-0.0897113362068966,-0.093123275862069,-0.0834171861471861,-0.0891315948275862,-0.0937466810344828,-0.0040353448275862
"20080815",0.0364027155172414,0.0408553448275862,0.0392855844155844,0.0434558189655172,0.0437680603448276,0.00736534482758621
"20080822",-0.0595053879310345,-0.0590734051724138,-0.0535824242424242,-0.0505180603448276,-0.0450494827586207,0.0144559051724138
"20080829",-0.113428879310345,-0.0849183620689655,-0.0895819480519481,-0.0768673706896552,-0.08222875,0.0312001293103448
"20080905",-0.0309165086206897,-0.0230747844827586,-0.022491645021645,-0.02332375,-0.0243184482758621,0.00659806034482759
"20080912",0.0137877155172414,0.0100593534482759,0.0285251082251082,0.0247798275862069,0.0255767672413793,0.0117890517241379
"20080919",-0.0580275862068966,-0.0710690086206897,-0.0638437662337662,-0.0543924568965517,-0.0484976293103448,0.00952995689655173
"20080926",-0.0838241810344828,-0.0898687068965517,-0.0916142857142857,-0.0914036206896552,-0.0965349137931034,-0.0127107327586207
"20081010",-0.0512081896551724,-0.0439045689655172,-0.0431700432900433,-0.0447503879310345,-0.0581108189655172,-0.00690262931034483
"20081017",-0.108427284482759,-0.116389094827586,-0.106539350649351,-0.0992265948275862,-0.107448706896552,0.000978577586206897
"20081024",-0.0445398706896552,-0.033478275862069,-0.0415341558441558,-0.0375432327586207,-0.03397875,0.0105611206896552
"20081031",0.0774472413793103,0.0878369827586207,0.0897934632034632,0.100368620689655,0.103302456896552,0.0258552155172414
"20081107",0.125355560344828,0.145337112068966,0.157341212121212,0.173567844827586,0.185029396551724,0.0596738362068966
"20081114",-0.0640000431034483,-0.0665593103448276,-0.0635118181818182,-0.063752974137931,-0.0660802586206897,-0.00208021551724138
